state_code,states,locations,year,total,latitude,longitude
AD,Andhra Pradesh,Others ,2019,95,22.09042035,82.15998734
AR,Arunanchal Pradesh,School Buildings,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Commercial Buildings,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Residential Buildings,2015,4,22.09042035,82.15998734
AR,Arunanchal Pradesh,Government Buildings ,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Mines,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Factory Manufacturing,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Other Factories ,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Train,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Automobile Vehicles,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Passenger Vehicles,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Private Vehicles,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Goods carriers vehicles,2015,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Others ,2015,4,22.09042035,82.15998734
AR,Arunanchal Pradesh,School Buildings,2016,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Commercial Buildings,2016,0,22.09042035,82.15998734
AR,Arunanchal Pradesh,Residential Buildings,2016,10,22.09042035,82.15998734
AR,Arunanchal Pradesh,Government Buildings ,2016,1,22.09042035,82.15998734
AR,Arunanchal Pradesh,Mines,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Factory Manufacturing,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Other Factories ,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Train,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Automobile Vehicles,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Passenger Vehicles,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Private Vehicles,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Goods carriers vehicles,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Others ,2016,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,School Buildings,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Commercial Buildings,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Residential Buildings,2017,1,20.26657819,73.0166178
AR,Arunanchal Pradesh,Government Buildings ,2017,1,20.26657819,73.0166178
AR,Arunanchal Pradesh,Mines,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Factory Manufacturing,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Other Factories ,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Train,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Automobile Vehicles,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Passenger Vehicles,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Private Vehicles,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Goods carriers vehicles,2017,0,20.26657819,73.0166178
AR,Arunanchal Pradesh,Others ,2017,9,28.6699929,77.23000403
AR,Arunanchal Pradesh,School Buildings,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Commercial Buildings,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Residential Buildings,2018,7,28.6699929,77.23000403
AR,Arunanchal Pradesh,Government Buildings ,2018,1,28.6699929,77.23000403
AR,Arunanchal Pradesh,Mines,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Factory Manufacturing,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Other Factories ,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Train,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Automobile Vehicles,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Passenger Vehicles,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Private Vehicles,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Goods carriers vehicles,2018,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Others ,2018,2,28.6699929,77.23000403
AR,Arunanchal Pradesh,School Buildings,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Commercial Buildings,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Residential Buildings,2019,7,28.6699929,77.23000403
AR,Arunanchal Pradesh,Government Buildings ,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Mines,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Factory Manufacturing,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Other Factories ,2019,0,28.6699929,77.23000403
AR,Arunanchal Pradesh,Train,2019,0,15.491997,73.81800065
AR,Arunanchal Pradesh,Automobile Vehicles,2019,1,15.491997,73.81800065
AR,Arunanchal Pradesh,Passenger Vehicles,2019,1,15.491997,73.81800065
AR,Arunanchal Pradesh,Private Vehicles,2019,0,15.491997,73.81800065
AR,Arunanchal Pradesh,Goods carriers vehicles,2019,0,15.491997,73.81800065
AR,Arunanchal Pradesh,Others ,2019,1,15.491997,73.81800065
AS,Assam,School Buildings,2015,0,15.491997,73.81800065
AS,Assam,Commercial Buildings,2015,6,15.491997,73.81800065
AS,Assam,Residential Buildings,2015,41,15.491997,73.81800065
AS,Assam,Government Buildings ,2015,0,15.491997,73.81800065
AS,Assam,Mines,2015,0,15.491997,73.81800065
AS,Assam,Factory Manufacturing,2015,29,15.491997,73.81800065
AS,Assam,Other Factories ,2015,13,15.491997,73.81800065
AS,Assam,Train,2015,2,15.491997,73.81800065
AS,Assam,Automobile Vehicles,2015,0,15.491997,73.81800065
AS,Assam,Passenger Vehicles,2015,0,15.491997,73.81800065
AS,Assam,Private Vehicles,2015,0,15.491997,73.81800065
AS,Assam,Goods carriers vehicles,2015,0,15.491997,73.81800065
AS,Assam,Others ,2015,0,15.491997,73.81800065
AS,Assam,School Buildings,2016,0,15.491997,73.81800065
AS,Assam,Commercial Buildings,2016,8,15.491997,73.81800065
AS,Assam,Residential Buildings,2016,73,28.45000633,77.01999101
AS,Assam,Government Buildings ,2016,3,28.45000633,77.01999101
AS,Assam,Mines,2016,0,28.45000633,77.01999101
AS,Assam,Factory Manufacturing,2016,0,28.45000633,77.01999101
AS,Assam,Other Factories ,2016,0,28.45000633,77.01999101
AS,Assam,Train,2016,0,28.45000633,77.01999101
AS,Assam,Automobile Vehicles,2016,0,28.45000633,77.01999101
AS,Assam,Passenger Vehicles,2016,0,28.45000633,77.01999101
AS,Assam,Private Vehicles,2016,0,28.45000633,77.01999101
AS,Assam,Goods carriers vehicles,2016,0,28.45000633,77.01999101
AS,Assam,Others ,2016,32,28.45000633,77.01999101
AS,Assam,School Buildings,2017,0,28.45000633,77.01999101
AS,Assam,Commercial Buildings,2017,12,28.45000633,77.01999101
AS,Assam,Residential Buildings,2017,64,28.45000633,77.01999101
AS,Assam,Government Buildings ,2017,2,28.45000633,77.01999101
AS,Assam,Mines,2017,0,28.45000633,77.01999101
AS,Assam,Factory Manufacturing,2017,0,28.45000633,77.01999101
AS,Assam,Other Factories ,2017,0,28.45000633,77.01999101
AS,Assam,Train,2017,0,28.45000633,77.01999101
AS,Assam,Automobile Vehicles,2017,0,28.45000633,77.01999101
AS,Assam,Passenger Vehicles,2017,0,28.45000633,77.01999101
AS,Assam,Private Vehicles,2017,0,31.10002545,77.16659704
AS,Assam,Goods carriers vehicles,2017,0,31.10002545,77.16659704
AS,Assam,Others ,2017,26,31.10002545,77.16659704
AS,Assam,School Buildings,2018,0,31.10002545,77.16659704
AS,Assam,Commercial Buildings,2018,0,31.10002545,77.16659704
AS,Assam,Residential Buildings,2018,15,31.10002545,77.16659704
AS,Assam,Government Buildings ,2018,0,31.10002545,77.16659704
AS,Assam,Mines,2018,0,31.10002545,77.16659704
AS,Assam,Factory Manufacturing,2018,0,31.10002545,77.16659704
AS,Assam,Other Factories ,2018,0,31.10002545,77.16659704
AS,Assam,Train,2018,0,31.10002545,77.16659704
AS,Assam,Automobile Vehicles,2018,0,31.10002545,77.16659704
AS,Assam,Passenger Vehicles,2018,0,31.10002545,77.16659704
AS,Assam,Private Vehicles,2018,0,31.10002545,77.16659704
AS,Assam,Goods carriers vehicles,2018,0,31.10002545,77.16659704
AS,Assam,Others ,2018,23,31.10002545,77.16659704
AS,Assam,School Buildings,2019,0,31.10002545,77.16659704
AS,Assam,Commercial Buildings,2019,0,31.10002545,77.16659704
AS,Assam,Residential Buildings,2019,67,31.10002545,77.16659704
AS,Assam,Government Buildings ,2019,0,31.10002545,77.16659704
AS,Assam,Mines,2019,0,31.10002545,77.16659704
AS,Assam,Factory Manufacturing,2019,3,34.29995933,74.46665849
AS,Assam,Other Factories ,2019,0,34.29995933,74.46665849
AS,Assam,Train,2019,0,34.29995933,74.46665849
AS,Assam,Automobile Vehicles,2019,3,34.29995933,74.46665849
AS,Assam,Passenger Vehicles,2019,1,34.29995933,74.46665849
AS,Assam,Private Vehicles,2019,2,34.29995933,74.46665849
AS,Assam,Goods carriers vehicles,2019,0,34.29995933,74.46665849
AS,Assam,Others ,2019,0,34.29995933,74.46665849
BR,Bihar,School Buildings,2015,0,34.29995933,74.46665849
BR,Bihar,Commercial Buildings,2015,6,34.29995933,74.46665849
BR,Bihar,Residential Buildings,2015,138,34.29995933,74.46665849
BR,Bihar,Government Buildings ,2015,0,34.29995933,74.46665849
BR,Bihar,Mines,2015,0,34.29995933,74.46665849
BR,Bihar,Factory Manufacturing,2015,0,34.29995933,74.46665849
BR,Bihar,Other Factories ,2015,0,34.29995933,74.46665849
BR,Bihar,Train,2015,0,34.29995933,74.46665849
BR,Bihar,Automobile Vehicles,2015,6,34.29995933,74.46665849
BR,Bihar,Passenger Vehicles,2015,2,34.29995933,74.46665849
BR,Bihar,Private Vehicles,2015,4,34.29995933,74.46665849
BR,Bihar,Goods carriers vehicles,2015,0,34.29995933,74.46665849
BR,Bihar,Others ,2015,108,34.29995933,74.46665849
BR,Bihar,School Buildings,2016,0,23.80039349,86.41998572
BR,Bihar,Commercial Buildings,2016,5,23.80039349,86.41998572
BR,Bihar,Residential Buildings,2016,305,23.80039349,86.41998572
BR,Bihar,Government Buildings ,2016,0,23.80039349,86.41998572
BR,Bihar,Mines,2016,0,23.80039349,86.41998572
BR,Bihar,Factory Manufacturing,2016,0,23.80039349,86.41998572
BR,Bihar,Other Factories ,2016,0,23.80039349,86.41998572
BR,Bihar,Train,2016,0,23.80039349,86.41998572
BR,Bihar,Automobile Vehicles,2016,0,23.80039349,86.41998572
BR,Bihar,Passenger Vehicles,2016,0,23.80039349,86.41998572
BR,Bihar,Private Vehicles,2016,0,23.80039349,86.41998572
BR,Bihar,Goods carriers vehicles,2016,0,23.80039349,86.41998572
BR,Bihar,Others ,2016,69,23.80039349,86.41998572
BR,Bihar,School Buildings,2017,0,23.80039349,86.41998572
BR,Bihar,Commercial Buildings,2017,38,23.80039349,86.41998572
BR,Bihar,Residential Buildings,2017,237,23.80039349,86.41998572
BR,Bihar,Government Buildings ,2017,1,23.80039349,86.41998572
BR,Bihar,Mines,2017,11,23.80039349,86.41998572
BR,Bihar,Factory Manufacturing,2017,0,23.80039349,86.41998572
BR,Bihar,Other Factories ,2017,0,23.80039349,86.41998572
BR,Bihar,Train,2017,0,23.80039349,86.41998572
BR,Bihar,Automobile Vehicles,2017,25,12.57038129,76.91999711
BR,Bihar,Passenger Vehicles,2017,9,12.57038129,76.91999711
BR,Bihar,Private Vehicles,2017,5,12.57038129,76.91999711
BR,Bihar,Goods carriers vehicles,2017,11,12.57038129,76.91999711
BR,Bihar,Others ,2017,52,12.57038129,76.91999711
BR,Bihar,School Buildings,2018,0,12.57038129,76.91999711
BR,Bihar,Commercial Buildings,2018,12,12.57038129,76.91999711
BR,Bihar,Residential Buildings,2018,209,12.57038129,76.91999711
BR,Bihar,Government Buildings ,2018,0,12.57038129,76.91999711
BR,Bihar,Mines,2018,4,12.57038129,76.91999711
BR,Bihar,Factory Manufacturing,2018,10,12.57038129,76.91999711
BR,Bihar,Other Factories ,2018,0,12.57038129,76.91999711
BR,Bihar,Train,2018,0,12.57038129,76.91999711
BR,Bihar,Automobile Vehicles,2018,14,12.57038129,76.91999711
BR,Bihar,Passenger Vehicles,2018,10,12.57038129,76.91999711
BR,Bihar,Private Vehicles,2018,0,12.57038129,76.91999711
BR,Bihar,Goods carriers vehicles,2018,0,12.57038129,76.91999711
BR,Bihar,Others ,2018,63,12.57038129,76.91999711
BR,Bihar,School Buildings,2019,3,12.57038129,76.91999711
BR,Bihar,Commercial Buildings,2019,8,12.57038129,76.91999711
BR,Bihar,Residential Buildings,2019,254,12.57038129,76.91999711
BR,Bihar,Government Buildings ,2019,0,8.900372741,76.56999263
BR,Bihar,Mines,2019,0,8.900372741,76.56999263
BR,Bihar,Factory Manufacturing,2019,0,8.900372741,76.56999263
BR,Bihar,Other Factories ,2019,0,8.900372741,76.56999263
BR,Bihar,Train,2019,0,8.900372741,76.56999263
BR,Bihar,Automobile Vehicles,2019,5,8.900372741,76.56999263
BR,Bihar,Passenger Vehicles,2019,0,8.900372741,76.56999263
BR,Bihar,Private Vehicles,2019,5,8.900372741,76.56999263
BR,Bihar,Goods carriers vehicles,2019,0,8.900372741,76.56999263
BR,Bihar,Others ,2019,45,8.900372741,76.56999263
CH,Chandigarh,School Buildings,2015,0,8.900372741,76.56999263
CH,Chandigarh,Commercial Buildings,2015,2,8.900372741,76.56999263
CH,Chandigarh,Residential Buildings,2015,10,8.900372741,76.56999263
CH,Chandigarh,Government Buildings ,2015,0,8.900372741,76.56999263
CH,Chandigarh,Mines,2015,0,8.900372741,76.56999263
CH,Chandigarh,Factory Manufacturing,2015,0,8.900372741,76.56999263
CH,Chandigarh,Other Factories ,2015,0,8.900372741,76.56999263
CH,Chandigarh,Train,2015,0,8.900372741,76.56999263
CH,Chandigarh,Automobile Vehicles,2015,0,8.900372741,76.56999263
CH,Chandigarh,Passenger Vehicles,2015,0,8.900372741,76.56999263
CH,Chandigarh,Private Vehicles,2015,0,8.900372741,76.56999263
CH,Chandigarh,Goods carriers vehicles,2015,0,10.56257331,72.63686717
CH,Chandigarh,Others ,2015,0,10.56257331,72.63686717
CH,Chandigarh,School Buildings,2016,0,10.56257331,72.63686717
CH,Chandigarh,Commercial Buildings,2016,0,10.56257331,72.63686717
CH,Chandigarh,Residential Buildings,2016,6,10.56257331,72.63686717
CH,Chandigarh,Government Buildings ,2016,0,10.56257331,72.63686717
CH,Chandigarh,Mines,2016,0,10.56257331,72.63686717
CH,Chandigarh,Factory Manufacturing,2016,0,10.56257331,72.63686717
CH,Chandigarh,Other Factories ,2016,0,10.56257331,72.63686717
CH,Chandigarh,Train,2016,0,10.56257331,72.63686717
CH,Chandigarh,Automobile Vehicles,2016,0,10.56257331,72.63686717
CH,Chandigarh,Passenger Vehicles,2016,0,10.56257331,72.63686717
CH,Chandigarh,Private Vehicles,2016,0,10.56257331,72.63686717
CH,Chandigarh,Goods carriers vehicles,2016,0,10.56257331,72.63686717
CH,Chandigarh,Others ,2016,0,10.56257331,72.63686717
CH,Chandigarh,School Buildings,2017,0,10.56257331,72.63686717
CH,Chandigarh,Commercial Buildings,2017,2,10.56257331,72.63686717
CH,Chandigarh,Residential Buildings,2017,4,10.56257331,72.63686717
CH,Chandigarh,Government Buildings ,2017,0,10.56257331,72.63686717
CH,Chandigarh,Mines,2017,0,10.56257331,72.63686717
CH,Chandigarh,Factory Manufacturing,2017,1,10.56257331,72.63686717
CH,Chandigarh,Other Factories ,2017,0,21.30039105,76.13001949
CH,Chandigarh,Train,2017,0,21.30039105,76.13001949
CH,Chandigarh,Automobile Vehicles,2017,0,21.30039105,76.13001949
CH,Chandigarh,Passenger Vehicles,2017,0,21.30039105,76.13001949
CH,Chandigarh,Private Vehicles,2017,0,21.30039105,76.13001949
CH,Chandigarh,Goods carriers vehicles,2017,0,21.30039105,76.13001949
CH,Chandigarh,Others ,2017,0,21.30039105,76.13001949
CH,Chandigarh,School Buildings,2018,0,21.30039105,76.13001949
CH,Chandigarh,Commercial Buildings,2018,0,21.30039105,76.13001949
CH,Chandigarh,Residential Buildings,2018,5,21.30039105,76.13001949
CH,Chandigarh,Government Buildings ,2018,0,21.30039105,76.13001949
CH,Chandigarh,Mines,2018,0,21.30039105,76.13001949
CH,Chandigarh,Factory Manufacturing,2018,1,21.30039105,76.13001949
CH,Chandigarh,Other Factories ,2018,1,21.30039105,76.13001949
CH,Chandigarh,Train,2018,0,21.30039105,76.13001949
CH,Chandigarh,Automobile Vehicles,2018,0,21.30039105,76.13001949
