states,year,alcohol_deaths,latitude,longitude,state_code,speed_deaths,state_code
Bihar,2017,0,25.78541445,87.4799727,BR,746,
Chandigarh,2017,10,30.71999697,76.78000565,CH,62,
Chhattisgarh,2017,86,22.09042035,82.15998734,CG,1750,
NCT of Delhi,2017,124,28.6699929,77.23000403,DL,0,
Goa,2017,10,15.491997,73.81800065,GA,217,
Gujarat,2017,65,22.2587,71.1924,GJ,4893,
Haryana,2017,180,28.45000633,77.01999101,HR,1675,
Himachal Pradesh,2017,214,31.10002545,77.16659704,HP,1089,
Jammu & Kashmir,2017,1,34.29995933,74.46665849,JK,231,
Jharkhand,2017,801,23.80039349,86.41998572,JH,712,
Karnataka,2017,169,12.57038129,76.91999711,KA,6116,
Kerala,2017,133,8.900372741,76.56999263,KL,2538,
Madhya Pradesh,2017,1049,21.30039105,76.13001949,MP,3850,
Maharashtra,2017,863,19.25023195,73.16017493,MH,7789,
Manipur,2017,44,24.79997072,93.95001705,MN,0,
Meghalaya,2017,132,25.57049217,91.8800142,ML,15,
Mizoram,2017,16,23.71039899,92.72001461,MZ,48,
Nagaland,2017,157,25.6669979,94.11657019,NL,12,
Odisha,2017,1533,19.82042971,85.90001746,OD,1622,
Puducherry,2017,5,11.93499371,79.83000037,PY,34,
Punjab,2017,129,31.51997398,75.98000281,PB,1727,
Rajasthan,2017,421,26.44999921,74.63998124,RJ,4774,
Sikkim,2017,32,27.3333303,88.6166475,SK,8,
Tamil Nadu,2017,1833,12.92038576,79.15004187,TN,7155,
Telangana,2017,163,18.1124,79.0193,TS,2156,
Tripura,2017,11,23.83540428,91.27999914,TR,123,
Uttar Pradesh,2017,3336,27.59998069,78.05000565,UP,1155,
Uttarakhand,2017,56,30.32040895,78.05000565,UK,31,
West Bengal,2017,16,22.58039044,88.32994665,WB,1619,
Andaman & Nicobar Island,2018,20,11.66702557,92.73598262,AN,19,
Andhra Pradesh,2018,1345,14.7504291,78.57002559,AD,7556,
Arunanchal Pradesh,2018,55,27.10039878,93.61660071,AR,175,
Assam,2018,377,26.7499809,94.21666744,AS,2966,
Bihar,2018,10,25.78541445,87.4799727,BR,6729,
Chandigarh,2018,12,30.71999697,76.78000565,CH,98,
Chhattisgarh,2018,216,22.09042035,82.15998734,CG,4592,
NCT of Delhi,2018,333,28.6699929,77.23000403,DL,1690,
Goa,2018,9,15.491997,73.81800065,GA,262,
Gujarat,2018,106,22.2587,71.1924,GJ,7996,
Haryana,2018,474,28.45000633,77.01999101,HR,5118,
Himachal Pradesh,2018,322,31.10002545,77.16659704,HP,1208,
Jammu & Kashmir,2018,20,34.29995933,74.46665849,JK,984,
Jharkhand,2018,517,23.80039349,86.41998572,JH,3542,
Karnataka,2018,139,12.57038129,76.91999711,KA,10990,
Kerala,2018,157,8.900372741,76.56999263,KL,4303,
Madhya Pradesh,2018,893,21.30039105,76.13001949,MP,10706,
Maharashtra,2018,188,19.25023195,73.16017493,MH,13261,
Manipur,2018,74,24.79997072,93.95001705,MN,134,
Meghalaya,2018,117,25.57049217,91.8800142,ML,182,
Mizoram,2018,16,23.71039899,92.72001461,MZ,45,
Nagaland,2018,83,25.6669979,94.11657019,NL,39,
Odisha,2018,1220,19.82042971,85.90001746,OD,5315,
Puducherry,2018,14,11.93499371,79.83000037,PY,226,
Punjab,2018,112,31.51997398,75.98000281,PB,4740,
Rajasthan,2018,146,26.44999921,74.63998124,RJ,10320,
Sikkim,2018,2,27.3333303,88.6166475,SK,85,
Tamil Nadu,2018,1128,12.92038576,79.15004187,TN,12216,
Telangana,2018,182,18.1124,79.0193,TS,6603,
Tripura,2018,28,23.83540428,91.27999914,TR,213,
Uttar Pradesh,2018,3595,27.59998069,78.05000565,UP,22256,
Uttarakhand,2018,20,30.32040895,78.05000565,UK,1047,
West Bengal,2018,79,22.58039044,88.32994665,WB,5711,
Andaman & Nicobar Island,2019,25,11.66702557,92.73598262,AN,36,
Andhra Pradesh,2019,594,14.7504291,78.57002559,AD,4448,
Arunanchal Pradesh,2019,11,27.10039878,93.61660071,AR,27,
Assam,2019,613,26.7499809,94.21666744,AS,1341,
Bihar,2019,1680,25.78541445,87.4799727,BR,1205,
Chandigarh,2019,11,30.71999697,76.78000565,CH,5,
